1st half,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45
Monday,,MA001,5.0,MA101,336.0,ME335,19.0,CE303,25.0,EE330,60.0,CB303,24.0,CS547,14.0,EE511,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,HS103,336.0,ME313,50.0,CS354,61.0,EE381,59.0,PH001,5.0,CB305,24.0,CS574,25.0,CB501,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,CE317,25.0,HS351,19.0,PH103,168.0,CH001,5.0,HS513,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,PH301,72.0,HS301,57.0,HS001,5.0,CH103,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,CE321,26.0,EE350,62.0,CS321,61.0,ME315,50.0,CB301,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,CE111,336.0,CS384,54.0,CS303,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,CE319,25.0,EE370,60.0,ME331,50.0,CS577,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd half ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,MA523,12.0,MA201,244.0,CE545,39.0,ME533,34.0,ME504,15.0,EE534,21.0,CS541,15.0,MC503,14.0,MA421,19.0,PH421,18.0,PH523,8.0,PH701,15.0,MM505,15.0,CH601,13.0,CH421,17.0,HS725,5.0,,,,,,,,,,,,
Tuesday,,MA533,14.0,HS201,96.0,CE517,17.0,HS231,112.0,MA423,19.0,HS233,36.0,CS503,32.0,EE530,14.0,HS701,6.0,ME503,26.0,ME525,7.0,MH501,14.0,PH423,18.0,PH704,6.0,PH604,7.0,EE486,50.0,MM503,18.0,CH423,17.0,CH521,11.0,EE540,11.0,MA509,4.0,,
Wednesday,,MA527,9.0,MA427,19.0,HS451,68.0,CE213,29.0,PH401,92.0,EE200,64.0,MH503,41.0,CS204,69.0,PH429,18.0,PH521,8.0,EE532,14.0,ME207,59.0,CS501,14.0,MM501,16.0,CB203,25.0,CH425,17.0,CH523,11.0,,,,,,,,,,
Thursday,,MA531,7.0,CE547,29.0,MA429,19.0,CE203,29.0,CS561,25.0,HS504,7.0,EE221,63.0,HS733,3.0,PH427,18.0,CS206,69.0,PH525,12.0,ME537,43.0,ME742,8.0,EE523,38.0,EE507,16.0,ME209,60.0,MS509,1.0,CB407,21.0,CB205,24.0,CH427,17.0,CH525,11.0,CS571,55.0
Friday,,MA525,12.0,CE505,17.0,ME431,46.0,MA425,19.0,EE512,35.0,CE211,29.0,HS732,4.0,EE201,64.0,PH527,9.0,ME521,12.0,PH702,11.0,PH425,18.0,CS508,15.0,HS711,4.0,ME231,59.0,MM511,15.0,CB401,20.0,CB211,24.0,CH429,17.0,CH401,1.0,CS544,11.0,,
Saturday,,MA521,12.0,CE507,16.0,CS564,120.0,CB503,17.0,CH605,22.0,EE101,337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,MA501,33.0,CE549,37.0,MA541,6.0,ME501,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
